measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,134,Tropical Latin America,3,Both,22,All ages,493,Ischemic heart disease,85,Air pollution,1,Number,1990,22401.018819208864,29730.023260614074,15825.364428193949
1,Deaths,134,Tropical Latin America,3,Both,22,All ages,493,Ischemic heart disease,98,Tobacco,1,Number,1990,46654.369701895404,49307.68493594122,43651.10877444063
1,Deaths,134,Tropical Latin America,3,Both,22,All ages,493,Ischemic heart disease,107,High systolic blood pressure,1,Number,1990,64176.881230069295,75038.19998287139,54335.3225622501
1,Deaths,134,Tropical Latin America,3,Both,22,All ages,493,Ischemic heart disease,110,Dietary risks,1,Number,1990,60589.86010757425,71243.31900441847,49176.55680023836
1,Deaths,134,Tropical Latin America,3,Both,22,All ages,493,Ischemic heart disease,367,High LDL cholesterol,1,Number,1990,58036.73213439514,69777.4016192129,47062.619383068
1,Deaths,134,Tropical Latin America,3,Both,22,All ages,493,Ischemic heart disease,85,Air pollution,2,Percent,1990,0.1875197856239705,0.24732106315718896,0.1336837991790332
1,Deaths,134,Tropical Latin America,3,Both,22,All ages,493,Ischemic heart disease,98,Tobacco,2,Percent,1990,0.39056673893096944,0.4113628825881533,0.3710029221226665
1,Deaths,134,Tropical Latin America,3,Both,22,All ages,493,Ischemic heart disease,107,High systolic blood pressure,2,Percent,1990,0.5371825950064317,0.6187074228067021,0.4585740979897965
1,Deaths,134,Tropical Latin America,3,Both,22,All ages,493,Ischemic heart disease,110,Dietary risks,2,Percent,1990,0.507193489972208,0.5932289590557264,0.41115589123706153
1,Deaths,134,Tropical Latin America,3,Both,22,All ages,493,Ischemic heart disease,367,High LDL cholesterol,2,Percent,1990,0.485783818641588,0.5773754586633548,0.3977436133881401
1,Deaths,134,Tropical Latin America,3,Both,22,All ages,493,Ischemic heart disease,85,Air pollution,3,Rate,1990,14.65258237841068,19.446509038449115,10.351424541175021
1,Deaths,134,Tropical Latin America,3,Both,22,All ages,493,Ischemic heart disease,98,Tobacco,3,Rate,1990,30.516781441371624,32.25232393417162,28.552338283739108
1,Deaths,134,Tropical Latin America,3,Both,22,All ages,493,Ischemic heart disease,107,High systolic blood pressure,3,Rate,1990,41.978315656193,49.08274108648379,35.540918755810615
1,Deaths,134,Tropical Latin America,3,Both,22,All ages,493,Ischemic heart disease,110,Dietary risks,3,Rate,1990,39.63203297527364,46.600496568865495,32.16655257591241
1,Deaths,134,Tropical Latin America,3,Both,22,All ages,493,Ischemic heart disease,367,High LDL cholesterol,3,Rate,1990,37.96202330957258,45.64163503582441,30.78381894232729
1,Deaths,174,Eastern Sub-Saharan Africa,3,Both,22,All ages,493,Ischemic heart disease,85,Air pollution,1,Number,1990,24114.52262709647,31300.772640095634,18748.083833431872
1,Deaths,174,Eastern Sub-Saharan Africa,3,Both,22,All ages,493,Ischemic heart disease,98,Tobacco,1,Number,1990,9224.645671996994,10456.216350089488,7869.020053652776
